id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
912,言三語四,0,1,0,0,0,0,0,0,0,0,0,0,0
913,千態萬狀,0,0,0,0,1,0,0,0,0,0,0,0,0
914,一人當百,0,0,0,1,0,0,0,0,0,0,0,0,0
916,一物一主,0,0,0,0,1,0,0,0,0,0,0,0,0
962,一觴一永,0,0,0,0,1,0,0,0,0,0,0,0,0
674,九生一毛,0,0,0,0,1,0,0,0,0,0,0,0,0
857,萬物一齊,0,0,0,0,1,0,0,0,0,0,0,0,0
675,六街九陽,0,0,0,0,1,0,0,0,0,0,0,0,0
740,劃一不二,0,1,0,0,0,0,0,0,0,0,0,0,0
751,百二關山,0,0,0,0,0,1,0,0,0,0,0,0,0
750,少一缺二,0,1,0,0,0,0,0,0,0,0,0,0,0
805,成千論萬,0,1,0,0,0,0,0,0,0,0,0,0,0
748,七零八散,0,0,0,0,1,0,0,0,0,0,0,0,0
747,一饋十起,0,0,0,0,1,0,0,0,0,0,0,0,0
746,一字百金,0,0,0,0,1,0,0,0,0,0,0,0,0
806,萬國九州,0,0,0,0,1,0,0,0,0,0,0,0,0
809,一言一淚,0,0,0,0,1,0,0,0,0,0,0,0,0
810,舉十知九,0,1,0,0,0,0,0,0,0,0,0,0,0
745,調三斡四,0,1,0,0,0,0,0,0,0,0,0,0,0
812,三親六故,0,0,0,0,1,0,0,0,0,0,0,0,0
743,撥萬輪千,0,1,0,0,0,0,0,0,0,0,0,0,0
742,三仕三已,0,0,0,0,1,0,0,0,0,0,0,0,0
741,七了八當,0,0,0,0,1,0,0,0,0,0,0,0,0
813,一酬一酢,0,0,0,0,1,0,0,0,0,0,0,0,0
752,誅一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
815,一班半點,0,0,0,0,1,0,0,0,0,0,0,0,0
816,三上五落,0,0,0,0,1,0,0,0,0,0,0,0,0
818,百依百隨,0,0,0,0,1,0,0,0,0,0,0,0,0
736,三回五次,0,0,0,0,1,0,0,0,0,0,0,0,0
948,千歡萬喜,0,0,0,0,1,0,0,0,0,0,0,0,0
735,萬無一誤,0,0,0,0,1,0,0,0,0,0,0,0,0
820,拔十得五,0,1,0,0,0,0,0,0,0,0,0,0,0
733,六通四闢,0,0,0,0,1,0,0,0,0,0,0,0,0
821,千倉萬庫,0,0,0,0,1,0,0,0,0,0,0,0,0
731,八紘一字,0,0,0,0,1,0,0,0,0,0,0,0,0
730,九烈三貞,0,0,0,0,1,0,0,0,0,0,0,0,0
729,一技一能,0,0,0,0,1,0,0,0,0,0,0,0,0
728,百金一諾,0,0,0,0,1,0,0,0,0,0,0,0,0
822,殲一警百,0,1,0,0,0,0,0,0,0,0,0,0,0
804,一謙四益,0,0,0,0,1,0,0,0,0,0,0,0,0
753,三眼一板,0,0,0,0,1,0,0,0,0,0,0,0,0
726,一龍一豬,0,0,0,0,1,0,0,0,0,0,0,0,0
788,千峰萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
951,耕九餘三,0,1,0,0,0,0,0,0,0,0,0,0,0
776,千慮一得,0,0,0,0,1,0,0,0,0,0,0,0,0
774,門千戶萬,0,1,0,0,0,0,0,0,0,0,0,0,0
779,百鍛千鍊,0,0,0,0,1,0,0,0,0,0,0,0,0
771,勸百諷一,0,1,0,0,0,0,0,0,0,0,0,0,0
770,千岩萬壑,0,0,0,0,1,0,0,0,0,0,0,0,0
769,人千人萬,0,1,0,0,0,0,0,0,0,0,0,0,0
768,三言五語,0,0,0,0,1,0,0,0,0,0,0,0,0
767,四離四絕,0,0,0,0,1,0,0,0,0,0,0,0,0
780,有一無二,0,1,0,0,0,0,0,0,0,0,0,0,0
